Timestamp,Open,High,Low,change,Volume (BTC),Volume (Currency),Weighted Price
2021-3-20 17:22,59148.36,59150.62,59099.57,59173.6978,0.97,57625.13,59119.95
2021-3-20 17:23,59154.45,59156.19,59153.24,59175.98188,0.17,10334.45,59153.4
2021-3-20 17:24,59162.3,59218.19,59157.76,59178.26691,2.08,123286.27,59171.87
2021-3-20 17:25,59190.16,59229.33,59190.16,59180.54994,0.57,33951.18,59199.13
2021-3-20 17:26,59206.89,59234.66,59206.89,59182.8279,0.32,18771.37,59223.7
2021-3-20 17:27,59229,59229,59176.83,59185.09788,0.48,28471.34,59187.14
2021-3-20 17:28,59180.36,59209.72,59180.36,59187.3574,0.56,33146.99,59195.03
2021-3-20 17:29,59201.79,59213.67,59185.33,59189.60404,0.25,14931.33,59200.91
2021-3-20 17:30,59200.62,59255.69,59200.62,59191.83543,2.13,126200.09,59224.75
2021-3-20 17:31,59219.61,59299.29,59219.61,59194.04923,4.03,238768.9,59268.23
2021-3-20 17:32,59280.67,59280.67,59241.64,59196.2436,0.44,26038.6,59258.53
2021-3-20 17:33,59249.63,59254.17,59186.09,59198.41746,0.3,17796.99,59230.89
2021-3-20 17:34,59197.74,59197.74,59112.86,59200.5702,0.94,55872.17,59147.99
2021-3-20 17:35,59143.73,59247.57,59143.73,59202.70114,1.04,61403,59188.09
2021-3-20 17:36,59202.29,59287.05,59202.29,59204.80895,1.72,101846.82,59252.59
2021-3-20 17:37,59266.21,59266.21,59226.94,59206.89261,0.03,1967.5,59231.51
2021-3-20 17:38,59233.78,59257.89,59227.23,59208.95152,0.43,25427.34,59234.94
2021-3-20 17:39,59244.8,59254.32,59244.8,59210.98533,0.34,20017.35,59249.95
2021-3-20 17:40,59225.77,59228.19,59200,59212.99401,3.07,181824.79,59217.97
2021-3-20 17:41,59207.73,59207.73,59168.54,59214.97783,0.47,27672.1,59189.39
2021-3-20 17:42,59190.21,59249.06,59185.67,59216.93716,0.57,34015.93,59200.9
2021-3-20 17:43,59247.24,59264.63,59232.07,59218.87222,0.19,10991.52,59247.45
2021-3-20 17:44,59231.43,59257.98,59230.59,59220.78347,0.13,7715.39,59237.24
2021-3-20 17:45,59254.33,59288.88,59254.33,59222.67156,1.26,74577.97,59266
2021-3-20 17:46,59256.33,59325.13,59256.28,59224.53739,2.73,161890.73,59284.85
2021-3-20 17:47,59293.62,59293.62,59264.71,59226.38219,2.31,136675.71,59278.93
2021-3-20 17:48,59267.46,59280.46,59253.61,59228.20777,0.08,4514.68,59270.81
2021-3-20 17:49,59238.4,59238.4,59205.47,59230.01624,1.34,79280.5,59223.28
2021-3-20 17:50,59214.99,59270.98,59204.13,59231.80988,2.9,171539.62,59235.39
2021-3-20 17:51,59280.44,59280.44,59252.81,59233.59092,0.31,18087.42,59264.14
2021-3-20 17:52,59252.02,59309.8,59236.46,59235.36185,5.64,334103.88,59280.48
2021-3-20 17:53,59226.56,59226.56,59136.39,59237.12555,1.67,98791.82,59172.9
2021-3-20 17:54,59153.56,59173.3,59100,59238.88503,0.76,45159.85,59121.56
2021-3-20 17:55,59095.1,59154.55,59086.21,59240.64269,5.47,323278.39,59122.9
2021-3-20 17:56,59144.49,59214.75,59115.34,59242.39999,0.65,38554.17,59180.41
2021-3-20 17:57,59139.39,59144.46,59137.77,59244.15766,0.45,26689.39,59144.27
2021-3-20 17:58,59143.88,59155.36,59131.96,59245.91549,0.41,24265.1,59149.79
