TradingDate,close,open,high,low,chg
2020-10-26,13061.6,13033,13229.7,12792.4,0.0023
2020-10-27,13657.8,13061.5,13782.3,13050.3,0.0456
2020-10-28,13278.9,13658.3,13851.7,12907.6,-0.0277
2020-10-29,13457.2,13278.3,13640,12982.9,0.0134
2020-10-30,13559.9,13457,13667.9,13134.5,0.0076
2020-10-31,13797.3,13560.2,14065.4,13441.7,0.0175
2020-11-1,13759.4,13795.5,13889.5,13628.7,-0.0027
2020-11-2,13561.4,13759.7,13828.4,13214.2,-0.0144
2020-11-3,14019.9,13560.5,14054,13294.6,0.0338
2020-11-4,14145.6,14023,14238.8,13544.4,0.009
2020-11-5,15587.1,14145.6,15739.9,14099.7,0.1019
2020-11-6,15577.9,15593.9,15955.2,15223.5,-0.0006
2020-11-7,14828.4,15578.2,15754.4,14385.1,-0.0481
2020-11-8,15483.7,14826.6,15648.3,14720.7,0.0442
2020-11-9,15327.2,15483.3,15819.6,14816.9,-0.0101
2020-11-10,15303.6,15328,15465.3,15096.5,-0.0015
2020-11-11,15695.8,15303.1,15953.9,15281,0.0256
2020-11-12,16294.7,15695.8,16342.7,15483.5,0.0382
2020-11-13,16324.2,16293,16474.1,15973.4,0.0018
2020-11-14,16071,16323.1,16328.2,15717.7,-0.0155
2020-11-15,15953,16074.7,16158.1,15782.3,-0.0073
2020-11-16,16715.8,15954.1,16880.7,15870.7,0.0478
2020-11-17,17662.3,16715.8,17845.4,16562,0.0566
2020-11-18,17774.6,17662.3,18466.1,17258.9,0.0064
2020-11-19,17803.5,17775.1,18166,17380.1,0.0016
2020-11-20,18675.2,17805.5,18811,17758.4,0.049
2020-11-21,18687.2,18673.8,18966,18397.5,0.0006
2020-11-22,18412.9,18689.3,18751.5,17644.6,-0.0147
2020-11-23,18379.6,18428.1,18756.8,18016,-0.0018
2020-11-24,19152.6,18394.6,19416.6,18074.8,0.0421
2020-11-25,18723,19151.5,19486.7,18527.7,-0.0224
2020-11-26,17162,18721.9,18894.9,16235.2,-0.0834
2020-11-27,17127.1,17160.9,17450.3,16481.6,-0.002
2020-11-28,17730.7,17142.6,17874.4,16874.4,0.0352
2020-11-29,18185.5,17729.7,18336.3,17530.4,0.0257
2020-11-30,19698.1,18186,19831.2,18186,0.0832
2020-12-1,18770.7,19697.8,19897.4,18257,-0.0471
2020-12-2,19218.8,18767.9,19335.5,18346.7,0.0239
2020-12-3,19433.3,19219.8,19596.6,18883.7,0.0112
2020-12-4,18658.1,19431.1,19529.5,18610.8,-0.0399
2020-12-5,19146.5,18657.5,19172.7,18507.1,0.0262
2020-12-6,19379.9,19146,19417.1,18873,0.0122
2020-12-7,19170.7,19368.4,19424.6,18908.8,-0.0108
2020-12-8,18326.6,19170.8,19288.6,18229.2,-0.044
2020-12-9,18546,18322.4,18637.9,17658.8,0.012
2020-12-10,18247.2,18546.1,18551.8,17926.8,-0.0161
2020-12-11,18023.6,18250.5,18288.3,17600.1,-0.0123
2020-12-12,18808.9,18026.7,18936.2,18025.1,0.0436
2020-12-13,19176.8,18808.1,19403.6,18716.8,0.0196
2020-12-14,19273.8,19176.4,19346.5,19007,0.0051
2020-12-15,19434.9,19273.9,19556.3,19076.2,0.0084
2020-12-16,21352.2,19434.7,21525.3,19299.7,0.0987
2020-12-17,22825.4,21352.3,23738,21243.1,0.069
2020-12-18,23127.9,22823.3,23272.8,22361.5,0.0133
2020-12-19,23844,23127.6,24107.1,22797,0.031
2020-12-20,23474.9,23843.6,24280.9,23098.9,-0.0155
2020-12-21,22728.5,23474.1,24101.9,22015.5,-0.0318
2020-12-22,23823.2,22730.4,23825.4,22388.6,0.0482
2020-12-23,23257.9,23820.8,24063.7,22694.7,-0.0237
2020-12-24,23736.5,23253.2,23783.7,22737.3,0.0206
2020-12-25,24689.6,23728.7,24778.9,23445.3,0.0402
2020-12-26,26454.4,24714.7,26826,24515.1,0.0715
2020-12-27,26261.3,26460.3,28360.3,25858.2,-0.0073
2020-12-28,27057.8,26259.2,27444.9,26144.3,0.0303
2020-12-29,27376,27065.3,27390.7,25902.8,0.0118
2020-12-30,28868.7,27374.5,28979.3,27374.5,0.0545
2020-12-31,28949.4,28866.8,29298.8,28025,0.0028
2021-1-1,29359.9,28951.7,29627.1,28712.4,0.0142
2021-1-2,32193.3,29359.7,33233.5,29008,0.0965
2021-1-3,32958.9,32192.9,34755.9,32029.6,0.0238
2021-1-4,32022.6,33016.6,33587.5,28204.5,-0.0284
2021-1-5,33991.5,32015.4,34414.7,30010.5,0.0615
2021-1-6,36793.2,33999.3,36934.8,33408.3,0.0824
2021-1-7,39460.2,36798.5,40340.9,36361.2,0.0725
2021-1-8,40599.3,39466.4,41921.7,36613.4,0.0289
2021-1-9,40151.9,40607.2,41363.5,38775.1,-0.011
2021-1-10,38192.2,40149.7,41362.4,35141.6,-0.0488
2021-1-11,35544.3,38195.3,38217.2,30411.6,-0.0693
2021-1-12,34076.1,35426,36598.7,32572.7,-0.0413
2021-1-13,37382.2,34061.2,37764.6,32451.9,0.097
2021-1-14,39175.7,37383.4,40054.3,36772.1,0.048
2021-1-15,36845.8,39175.7,39715,34488.7,-0.0595
2021-1-16,36019.5,36751.8,37931.7,35408.4,-0.0224
2021-1-17,35839.6,36020.1,36801.3,33883.5,-0.005
2021-1-18,36613.2,35838.2,37436.8,34801,0.0216
2021-1-19,36002.9,36630.6,37821,36001.4,-0.0167
2021-1-20,35476.3,35862.1,36384.4,33444.5,-0.0146
2021-1-21,30842.1,35472.3,35591.1,30101.8,-0.1306
2021-1-22,33000.5,30838.7,33821.2,28871.2,0.07
2021-1-23,32088.9,32994.1,33441.4,31418.2,-0.0276
2021-1-24,32241.3,32088.5,33034.8,30982.9,0.0047
2021-1-25,32252.3,32244.3,34854.3,31967.4,0.0003
2021-1-26,32502.1,32244.1,32917.7,30850,0.0077
2021-1-27,30404,32499.6,32545.4,29290.4,-0.0646
2021-1-28,33374.8,30408.9,33790.8,29911.9,0.0977
2021-1-29,34301.8,33381.7,38546,31953.3,0.0278
2021-1-30,34283.1,34300,34920.9,32908.5,-0.0005
2021-1-31,33108.1,34281.6,34348.3,32189.9,-0.0343
2021-2-1,33515.7,33106.8,34685.6,32324.9,0.0123
2021-2-2,35485.2,33514,35976.1,33462.4,0.0588
2021-2-3,37646.8,35486.9,37646.8,35401.5,0.0609
2021-2-4,36982.1,37648.9,38707.9,36380.8,-0.0177
2021-2-5,38297.6,36976.4,38303.6,36640,0.0356
